WRN 2026-06-05T11:50:38.804 ui.26105   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T11:50:38.804 ui.26105   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T11:50:38.804 ui.26105   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T11:50:38.804 ui.26105   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T11:50:38.804 ui.26105   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T11:50:46.697 ui.26160   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T11:50:46.697 ui.26160   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T11:50:46.698 ui.26160   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T11:50:46.698 ui.26160   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T11:50:46.698 ui.26160   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T11:53:31.934 ui.26617   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T11:53:31.935 ui.26617   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T11:53:31.935 ui.26617   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T11:53:31.935 ui.26617   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T11:53:31.935 ui.26617   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T11:58:18.725 ui.27094   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T11:58:18.725 ui.27094   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T11:58:18.725 ui.27094   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T11:58:18.725 ui.27094   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T11:58:18.726 ui.27094   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T11:59:57.454 ui.27412   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T11:59:57.454 ui.27412   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T11:59:57.454 ui.27412   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T11:59:57.454 ui.27412   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T11:59:57.454 ui.27412   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:04:47.245 ui.28088   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T12:04:47.245 ui.28088   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T12:04:47.245 ui.28088   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T12:04:47.245 ui.28088   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T12:04:47.245 ui.28088   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:05:27.844 ui.28137   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T12:05:27.844 ui.28137   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T12:05:27.844 ui.28137   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T12:05:27.844 ui.28137   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T12:05:27.845 ui.28137   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:07:00.323 ui.28378   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T12:07:00.323 ui.28378   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T12:07:00.323 ui.28378   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T12:07:00.323 ui.28378   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T12:07:00.323 ui.28378   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:15:50.105 ui.29667   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
